a,b,c,d,e,f,g,h,i,k
3164.0111,88.0111,19.0111,361.0111,102.0111,3878.0111,245.0111,205.0111,82.0111,849.0111
2933.0111,58.0111,4.0111,0.0111,0.0111,1138.0111,223.0111,230.0111,143.0111,2353.0111
2790.0111,60.0111,23.0111,108.0111,-8.0111,234.0111,231.0111,187.0111,77.0111,1401.0111
3199.0111,108.0111,3.0111,342.0111,16.0111,5367.0111,225.0111,236.0111,146.0111,2363.0111
2815.0111,55.0111,18.0111,120.0111,-14.0111,297.0111,229.0111,199.0111,97.0111,1465.0111
3218.0111,61.0111,12.0111,313.0111,35.0111,5649.0111,230.0111,215.0111,117.0111,2187.0111
3207.0111,72.0111,3.0111,301.0111,24.0111,5541.0111,223.0111,233.0111,146.0111,2244.0111
3081.0111,184.0111,11.0111,175.0111,23.0111,3720.0111,223.0111,247.0111,157.0111,618.0111
3042.0111,56.0111,10.0111,42.0111,-2.0111,3443.0111,227.0111,218.0111,124.0111,408.0111
2821.0111,58.0111,18.0111,150.0111,-15.0111,306.0111,230.0111,200.0111,97.0111,1471.0111
2776.0111,73.0111,25.0111,175.0111,95.0111,190.0111,239.0111,185.0111,62.0111,1354.0111
2765.0111,75.0111,21.0111,150.0111,77.0111,162.0111,240.0111,197.0111,78.0111,1324.0111
3216.0111,58.0111,9.0111,335.0111,33.0111,5635.0111,227.0111,222.0111,129.0111,2174.0111
3049.0111,293.0111,5.0111,306.0111,62.0111,2471.0111,205.0111,239.0111,173.0111,1025.0111
2806.0111,66.0111,21.0111,190.0111,-23.0111,256.0111,235.0111,193.0111,80.0111,1419.0111
3185.0111,32.0111,3.0111,0.0111,0.0111,5165.0111,219.0111,232.0111,150.0111,1919.0111
3018.0111,106.0111,9.0111,150.0111,3.0111,2979.0111,235.0111,229.0111,125.0111,558.0111
2821.0111,58.0111,21.0111,212.0111,-19.0111,295.0111,230.0111,192.0111,86.0111,1455.0111
2800.0111,64.0111,26.0111,218.0111,112.0111,242.0111,233.0111,178.0111,61.0111,1397.0111
3025.0111,307.0111,9.0111,90.0111,14.0111,3250.0111,194.0111,235.0111,180.0111,350.0111
2762.0111,62.0111,27.0111,150.0111,76.0111,175.0111,231.0111,173.0111,58.0111,1319.0111
2734.0111,68.0111,30.0111,108.0111,43.0111,124.0111,234.0111,166.0111,42.0111,1262.0111
3047.0111,78.0111,15.0111,170.0111,0.0111,3480.0111,238.0111,211.0111,99.0111,277.0111
3040.0111,277.0111,10.0111,218.0111,48.0111,2607.0111,192.0111,242.0111,189.0111,882.0111
2953.0111,60.0111,7.0111,134.0111,-8.0111,1366.0111,225.0111,226.0111,135.0111,2147.0111
2826.0111,46.0111,27.0111,258.0111,145.0111,283.0111,216.0111,170.0111,73.0111,1423.0111
2736.0111,49.0111,26.0111,108.0111,49.0111,127.0111,221.0111,175.0111,73.0111,1254.0111
2737.0111,44.0111,22.0111,108.0111,41.0111,124.0111,219.0111,186.0111,91.0111,1237.0111
3196.0111,336.0111,9.0111,67.0111,7.0111,5142.0111,199.0111,227.0111,167.0111,1766.0111
3062.0111,329.0111,1.0111,0.0111,0.0111,3830.0111,215.0111,237.0111,159.0111,485.0111
2927.0111,51.0111,16.0111,258.0111,34.0111,741.0111,226.0111,205.0111,108.0111,1900.0111
2914.0111,29.0111,8.0111,335.0111,37.0111,564.0111,217.0111,222.0111,140.0111,1708.0111
2806.0111,76.0111,39.0111,234.0111,119.0111,255.0111,235.0111,141.0111,0.0111,1371.0111
3019.0111,312.0111,6.0111,0.0111,0.0111,2962.0111,203.0111,235.0111,172.0111,524.0111
2811.0111,80.0111,35.0111,255.0111,115.0111,268.0111,241.0111,156.0111,15.0111,1383.0111
3199.0111,268.0111,6.0111,216.0111,13.0111,5918.0111,204.0111,243.0111,178.0111,1736.0111
2841.0111,82.0111,18.0111,319.0111,154.0111,335.0111,242.0111,205.0111,86.0111,1450.0111
2800.0111,67.0111,28.0111,242.0111,109.0111,256.0111,235.0111,173.0111,51.0111,1369.0111
2768.0111,57.0111,22.0111,170.0111,75.0111,175.0111,229.0111,187.0111,80.0111,1288.0111
2747.0111,52.0111,21.0111,124.0111,60.0111,127.0111,225.0111,189.0111,87.0111,1235.0111
3204.0111,101.0111,1.0111,60.0111,2.0111,4905.0111,221.0111,237.0111,152.0111,1698.0111
3091.0111,90.0111,13.0111,192.0111,31.0111,2315.0111,240.0111,219.0111,107.0111,1201.0111
2763.0111,56.0111,22.0111,162.0111,76.0111,170.0111,228.0111,189.0111,83.0111,1276.0111
3170.0111,284.0111,4.0111,175.0111,8.0111,4488.0111,209.0111,240.0111,169.0111,1170.0111
2847.0111,64.0111,23.0111,350.0111,151.0111,362.0111,234.0111,187.0111,73.0111,1476.0111
2826.0111,71.0111,25.0111,300.0111,135.0111,309.0111,238.0111,184.0111,63.0111,1422.0111
2812.0111,71.0111,25.0111,277.0111,130.0111,283.0111,238.0111,182.0111,60.0111,1396.0111
2756.0111,48.0111,23.0111,120.0111,98.0111,124.0111,221.0111,183.0111,84.0111,1240.0111
3024.0111,331.0111,6.0111,30.0111,3.0111,3194.0111,206.0111,233.0111,165.0111,300.0111
2940.0111,3.0111,16.0111,443.0111,47.0111,738.0111,197.0111,208.0111,146.0111,1872.0111
2771.0111,34.0111,20.0111,153.0111,113.0111,162.0111,213.0111,193.0111,108.0111,1282.0111
3037.0111,10.0111,4.0111,60.0111,8.0111,1889.0111,215.0111,231.0111,153.0111,1680.0111
2974.0111,6.0111,10.0111,216.0111,49.0111,1047.0111,208.0111,222.0111,150.0111,2192.0111
2785.0111,35.0111,17.0111,190.0111,127.0111,201.0111,216.0111,201.0111,116.0111,1323.0111
2823.0111,72.0111,26.0111,313.0111,136.0111,323.0111,238.0111,180.0111,57.0111,1441.0111
2811.0111,67.0111,21.0111,285.0111,124.0111,295.0111,236.0111,193.0111,80.0111,1415.0111
2792.0111,26.0111,14.0111,201.0111,134.0111,212.0111,213.0111,208.0111,129.0111,1340.0111
3213.0111,97.0111,4.0111,120.0111,18.0111,4659.0111,226.0111,234.0111,143.0111,1637.0111
3097.0111,92.0111,15.0111,210.0111,33.0111,3944.0111,242.0111,215.0111,98.0111,459.0111
3080.0111,343.0111,14.0111,268.0111,57.0111,2789.0111,190.0111,218.0111,165.0111,755.0111
2799.0111,27.0111,11.0111,212.0111,151.0111,218.0111,216.0111,216.0111,136.0111,1357.0111
3227.0111,328.0111,3.0111,247.0111,6.0111,5805.0111,212.0111,236.0111,162.0111,1800.0111
2837.0111,53.0111,27.0111,335.0111,185.0111,342.0111,223.0111,170.0111,64.0111,1473.0111
2802.0111,47.0111,10.0111,218.0111,149.0111,228.0111,224.0111,217.0111,127.0111,1374.0111
2799.0111,66.0111,9.0111,190.0111,140.0111,201.0111,229.0111,221.0111,124.0111,1350.0111
3242.0111,315.0111,17.0111,153.0111,47.0111,5015.0111,173.0111,224.0111,190.0111,1448.0111
3213.0111,39.0111,6.0111,319.0111,-7.0111,5536.0111,221.0111,226.0111,141.0111,1820.0111
3095.0111,138.0111,13.0111,268.0111,47.0111,3987.0111,240.0111,235.0111,122.0111,503.0111
2773.0111,80.0111,48.0111,124.0111,112.0111,134.0111,226.0111,107.0111,0.0111,1298.0111
3038.0111,90.0111,9.0111,108.0111,3.0111,3676.0111,233.0111,227.0111,125.0111,234.0111
3040.0111,310.0111,12.0111,108.0111,18.0111,3302.0111,186.0111,231.0111,185.0111,300.0111
2847.0111,50.0111,27.0111,323.0111,199.0111,335.0111,220.0111,172.0111,70.0111,1482.0111
2809.0111,67.0111,18.0111,242.0111,150.0111,256.0111,235.0111,201.0111,91.0111,1410.0111
2779.0111,78.0111,47.0111,134.0111,118.0111,150.0111,227.0111,111.0111,0.0111,1318.0111
3215.0111,28.0111,23.0111,175.0111,35.0111,5523.0111,204.0111,183.0111,105.0111,1366.0111
3221.0111,219.0111,3.0111,256.0111,25.0111,6006.0111,216.0111,243.0111,164.0111,1622.0111
2786.0111,76.0111,46.0111,150.0111,132.0111,162.0111,226.0111,113.0111,0.0111,1338.0111
3255.0111,285.0111,16.0111,190.0111,60.0111,4992.0111,175.0111,239.0111,203.0111,1361.0111
3076.0111,34.0111,10.0111,134.0111,-6.0111,2218.0111,219.0111,218.0111,134.0111,1430.0111
2806.0111,31.0111,18.0111,216.0111,145.0111,228.0111,213.0111,199.0111,117.0111,1403.0111
2743.0111,76.0111,49.0111,134.0111,81.0111,150.0111,222.0111,103.0111,0.0111,1337.0111
2728.0111,62.0111,29.0111,108.0111,72.0111,124.0111,230.0111,166.0111,0.0111,1315.0111
3043.0111,324.0111,14.0111,108.0111,35.0111,1691.0111,184.0111,224.0111,179.0111,2028.0111
2842.0111,62.0111,28.0111,309.0111,187.0111,323.0111,231.0111,172.0111,55.0111,1490.0111
2803.0111,74.0111,46.0111,175.0111,141.0111,190.0111,224.0111,111.0111,0.0111,1379.0111
3241.0111,31.0111,23.0111,228.0111,52.0111,5561.0111,207.0111,183.0111,102.0111,1289.0111
3217.0111,244.0111,6.0111,218.0111,-3.0111,6025.0111,208.0111,245.0111,175.0111,1566.0111
2899.0111,35.0111,18.0111,430.0111,240.0111,443.0111,215.0111,198.0111,113.0111,1602.0111
2760.0111,75.0111,49.0111,170.0111,95.0111,175.0111,219.0111,99.0111,0.0111,1379.0111
3290.0111,24.0111,16.0111,182.0111,20.0111,3842.0111,210.0111,205.0111,128.0111,1940.0111
2856.0111,53.0111,28.0111,335.0111,195.0111,350.0111,223.0111,169.0111,63.0111,1530.0111
3305.0111,205.0111,7.0111,430.0111,110.0111,5167.0111,216.0111,246.0111,166.0111,1206.0111
3213.0111,235.0111,8.0111,210.0111,-7.0111,6056.0111,207.0111,247.0111,178.0111,1518.0111
3074.0111,331.0111,12.0111,162.0111,11.0111,3302.0111,192.0111,225.0111,172.0111,469.0111
3084.0111,88.0111,12.0111,242.0111,-1.0111,2214.0111,238.0111,220.0111,110.0111,1513.0111
2914.0111,30.0111,14.0111,390.0111,-30.0111,470.0111,215.0111,208.0111,126.0111,1640.0111
2828.0111,72.0111,45.0111,228.0111,163.0111,234.0111,223.0111,113.0111,0.0111,1443.0111
2710.0111,66.0111,32.0111,90.0111,53.0111,95.0111,232.0111,160.0111,0.0111,1345.0111
3276.0111,354.0111,10.0111,42.0111,6.0111,4055.0111,204.0111,223.0111,157.0111,1719.0111
3077.0111,76.0111,9.0111,90.0111,18.0111,2014.0111,232.0111,223.0111,124.0111,1754.0111
2847.0111,35.0111,22.0111,255.0111,68.0111,277.0111,211.0111,186.0111,100.0111,1486.0111
2789.0111,74.0111,49.0111,201.0111,35.0111,218.0111,219.0111,99.0111,0.0111,1445.0111
2857.0111,63.0111,24.0111,228.0111,78.0111,285.0111,233.0111,183.0111,70.0111,1507.0111
2743.0111,61.0111,33.0111,108.0111,24.0111,150.0111,226.0111,154.0111,0.0111,1410.0111
3331.0111,358.0111,15.0111,361.0111,61.0111,3635.0111,196.0111,211.0111,152.0111,2014.0111
3072.0111,329.0111,17.0111,60.0111,13.0111,1905.0111,178.0111,218.0111,179.0111,1914.0111
2824.0111,93.0111,45.0111,190.0111,45.0111,268.0111,240.0111,130.0111,0.0111,1510.0111
2753.0111,57.0111,32.0111,95.0111,34.0111,162.0111,222.0111,155.0111,41.0111,1434.0111
2722.0111,53.0111,32.0111,42.0111,3.0111,108.0111,218.0111,153.0111,45.0111,1398.0111
3062.0111,101.0111,4.0111,60.0111,2.0111,4136.0111,226.0111,234.0111,144.0111,722.0111
3044.0111,2.0111,7.0111,30.0111,3.0111,3681.0111,211.0111,227.0111,154.0111,484.0111
2827.0111,84.0111,46.0111,162.0111,26.0111,283.0111,233.0111,119.0111,0.0111,1533.0111
2810.0111,76.0111,29.0111,150.0111,31.0111,256.0111,241.0111,172.0111,0.0111,1513.0111
2764.0111,55.0111,31.0111,85.0111,10.0111,175.0111,222.0111,159.0111,48.0111,1458.0111
3047.0111,85.0111,15.0111,573.0111,58.0111,1433.0111,240.0111,213.0111,99.0111,2483.0111
2878.0111,82.0111,44.0111,150.0111,48.0111,323.0111,234.0111,124.0111,0.0111,1575.0111
2827.0111,84.0111,46.0111,134.0111,-2.0111,295.0111,233.0111,118.0111,0.0111,1556.0111
3260.0111,256.0111,8.0111,306.0111,34.0111,5626.0111,202.0111,245.0111,182.0111,1471.0111
2830.0111,79.0111,46.0111,108.0111,0.0111,309.0111,229.0111,116.0111,0.0111,1579.0111
2820.0111,60.0111,25.0111,95.0111,-9.0111,283.0111,230.0111,181.0111,0.0111,1560.0111
2740.0111,54.0111,29.0111,0.0111,0.0111,134.0111,222.0111,165.0111,57.0111,1456.0111
3266.0111,65.0111,13.0111,120.0111,40.0111,4507.0111,232.0111,212.0111,110.0111,1242.0111
3056.0111,37.0111,5.0111,90.0111,0.0111,3795.0111,220.0111,229.0111,145.0111,589.0111
3101.0111,303.0111,14.0111,277.0111,1.0111,3399.0111,181.0111,233.0111,192.0111,631.0111
3057.0111,85.0111,16.0111,592.0111,56.0111,1482.0111,241.0111,211.0111,96.0111,2467.0111
2950.0111,37.0111,5.0111,180.0111,5.0111,591.0111,220.0111,229.0111,146.0111,1803.0111
2840.0111,78.0111,44.0111,85.0111,10.0111,324.0111,231.0111,121.0111,0.0111,1602.0111
2788.0111,55.0111,28.0111,0.0111,0.0111,216.0111,224.0111,168.0111,59.0111,1539.0111
2747.0111,56.0111,30.0111,67.0111,-6.0111,150.0111,224.0111,162.0111,51.0111,1492.0111
2732.0111,60.0111,31.0111,85.0111,-7.0111,120.0111,227.0111,161.0111,45.0111,1477.0111
3237.0111,152.0111,14.0111,541.0111,146.0111,5386.0111,237.0111,239.0111,130.0111,1503.0111
2741.0111,63.0111,31.0111,108.0111,-12.0111,124.0111,229.0111,160.0111,40.0111,1504.0111
2991.0111,83.0111,8.0111,170.0111,32.0111,859.0111,231.0111,227.0111,128.0111,2060.0111
2802.0111,59.0111,28.0111,85.0111,-6.0111,228.0111,228.0111,171.0111,58.0111,1600.0111
3133.0111,20.0111,29.0111,212.0111,69.0111,4042.0111,185.0111,165.0111,102.0111,805.0111
3139.0111,34.0111,3.0111,324.0111,9.0111,2509.0111,219.0111,232.0111,149.0111,1504.0111
3112.0111,73.0111,7.0111,95.0111,12.0111,2294.0111,229.0111,226.0111,131.0111,1718.0111
3335.0111,52.0111,14.0111,240.0111,36.0111,4207.0111,226.0111,208.0111,112.0111,1302.0111
3035.0111,53.0111,7.0111,402.0111,55.0111,1261.0111,224.0111,225.0111,135.0111,2424.0111
3168.0111,300.0111,5.0111,379.0111,37.0111,3153.0111,205.0111,238.0111,172.0111,1003.0111
2717.0111,74.0111,35.0111,85.0111,52.0111,90.0111,237.0111,154.0111,19.0111,1599.0111
3280.0111,162.0111,4.0111,319.0111,40.0111,5206.0111,223.0111,240.0111,152.0111,750.0111
3082.0111,106.0111,7.0111,532.0111,28.0111,1717.0111,232.0111,232.0111,132.0111,2391.0111
2816.0111,75.0111,27.0111,201.0111,-20.0111,242.0111,241.0111,177.0111,49.0111,1691.0111
2722.0111,75.0111,34.0111,95.0111,57.0111,95.0111,238.0111,156.0111,20.0111,1627.0111
2857.0111,87.0111,21.0111,175.0111,-26.0111,335.0111,245.0111,201.0111,75.0111,1760.0111
3230.0111,207.0111,3.0111,313.0111,20.0111,5569.0111,217.0111,242.0111,161.0111,1234.0111
3048.0111,96.0111,4.0111,424.0111,68.0111,1370.0111,227.0111,233.0111,141.0111,2544.0111
2732.0111,77.0111,33.0111,124.0111,70.0111,127.0111,240.0111,162.0111,26.0111,1682.0111
2714.0111,74.0111,32.0111,95.0111,52.0111,108.0111,239.0111,164.0111,31.0111,1671.0111
3242.0111,16.0111,7.0111,242.0111,15.0111,5940.0111,214.0111,226.0111,148.0111,999.0111
3021.0111,148.0111,15.0111,212.0111,41.0111,1194.0111,239.0111,237.0111,124.0111,2402.0111
2772.0111,82.0111,31.0111,190.0111,117.0111,192.0111,244.0111,171.0111,34.0111,1733.0111
3108.0111,48.0111,26.0111,30.0111,10.0111,3868.0111,219.0111,175.0111,75.0111,934.0111
3183.0111,28.0111,8.0111,331.0111,-30.0111,2952.0111,217.0111,223.0111,141.0111,1315.0111
3181.0111,39.0111,9.0111,335.0111,-32.0111,2925.0111,221.0111,220.0111,134.0111,1337.0111
3165.0111,14.0111,12.0111,330.0111,65.0111,2605.0111,209.0111,216.0111,143.0111,1615.0111
3121.0111,50.0111,12.0111,60.0111,14.0111,2368.0111,225.0111,214.0111,121.0111,1842.0111
2740.0111,76.0111,31.0111,150.0111,87.0111,170.0111,240.0111,165.0111,32.0111,1738.0111
2706.0111,76.0111,30.0111,108.0111,47.0111,124.0111,240.0111,171.0111,39.0111,1717.0111
3102.0111,57.0111,11.0111,85.0111,15.0111,5056.0111,228.0111,217.0111,121.0111,1507.0111
3375.0111,61.0111,13.0111,150.0111,-6.0111,4142.0111,230.0111,212.0111,112.0111,1195.0111
2730.0111,80.0111,31.0111,150.0111,80.0111,175.0111,243.0111,168.0111,31.0111,1784.0111
3284.0111,319.0111,9.0111,120.0111,41.0111,4734.0111,198.0111,232.0111,174.0111,703.0111
2700.0111,80.0111,27.0111,95.0111,54.0111,120.0111,244.0111,180.0111,47.0111,1793.0111
3285.0111,308.0111,12.0111,90.0111,51.0111,4702.0111,188.0111,232.0111,185.0111,700.0111
2753.0111,86.0111,32.0111,190.0111,103.0111,210.0111,246.0111,170.0111,28.0111,1851.0111
3246.0111,27.0111,2.0111,30.0111,0.0111,5476.0111,218.0111,234.0111,153.0111,566.0111
3218.0111,58.0111,4.0111,228.0111,21.0111,5379.0111,223.0111,230.0111,143.0111,1211.0111
2720.0111,85.0111,28.0111,150.0111,70.0111,153.0111,246.0111,180.0111,43.0111,1860.0111
3090.0111,36.0111,6.0111,60.0111,3.0111,4825.0111,220.0111,226.0111,143.0111,1383.0111
2755.0111,87.0111,31.0111,210.0111,109.0111,218.0111,247.0111,173.0111,31.0111,1907.0111
2706.0111,83.0111,26.0111,120.0111,52.0111,134.0111,245.0111,184.0111,52.0111,1879.0111
3250.0111,308.0111,6.0111,127.0111,5.0111,5562.0111,204.0111,236.0111,171.0111,573.0111
3244.0111,54.0111,40.0111,255.0111,146.0111,4039.0111,209.0111,125.0111,0.0111,1154.0111
3047.0111,72.0111,7.0111,362.0111,11.0111,1597.0111,228.0111,227.0111,133.0111,2793.0111
2681.0111,78.0111,23.0111,67.0111,31.0111,90.0111,242.0111,191.0111,66.0111,1892.0111
3226.0111,47.0111,8.0111,190.0111,13.0111,6119.0111,223.0111,223.0111,135.0111,800.0111
3208.0111,338.0111,5.0111,90.0111,-5.0111,3141.0111,209.0111,233.0111,162.0111,1440.0111
2793.0111,85.0111,31.0111,277.0111,147.0111,295.0111,246.0111,173.0111,33.0111,1984.0111
2725.0111,81.0111,27.0111,162.0111,81.0111,182.0111,244.0111,180.0111,47.0111,1945.0111
3200.0111,172.0111,5.0111,30.0111,0.0111,5673.0111,223.0111,242.0111,154.0111,949.0111
3277.0111,287.0111,20.0111,424.0111,179.0111,4254.0111,160.0111,234.0111,213.0111,1262.0111
3015.0111,37.0111,5.0111,124.0111,17.0111,1020.0111,220.0111,229.0111,146.0111,2394.0111
2982.0111,117.0111,11.0111,301.0111,4.0111,860.0111,238.0111,230.0111,121.0111,2288.0111
2795.0111,80.0111,31.0111,270.0111,-134.0111,306.0111,243.0111,168.0111,31.0111,2012.0111
2713.0111,76.0111,25.0111,150.0111,63.0111,162.0111,242.0111,184.0111,57.0111,1966.0111
3279.0111,62.0111,8.0111,67.0111,3.0111,4927.0111,227.0111,223.0111,130.0111,408.0111
3206.0111,304.0111,7.0111,124.0111,-7.0111,3302.0111,201.0111,237.0111,175.0111,1410.0111
3208.0111,48.0111,7.0111,85.0111,-6.0111,2982.0111,223.0111,225.0111,137.0111,1617.0111
2959.0111,53.0111,14.0111,295.0111,29.0111,742.0111,227.0111,210.0111,113.0111,2233.0111
2731.0111,75.0111,27.0111,175.0111,45.0111,201.0111,240.0111,178.0111,50.0111,2003.0111
2679.0111,71.0111,24.0111,85.0111,33.0111,90.0111,238.0111,185.0111,63.0111,1972.0111
3267.0111,319.0111,4.0111,270.0111,22.0111,5675.0111,208.0111,235.0111,166.0111,592.0111
3169.0111,277.0111,24.0111,240.0111,84.0111,4606.0111,150.0111,237.0111,223.0111,1248.0111
3158.0111,282.0111,6.0111,216.0111,-2.0111,3542.0111,204.0111,240.0111,175.0111,1366.0111
3042.0111,83.0111,6.0111,108.0111,9.0111,1443.0111,229.0111,230.0111,135.0111,2737.0111
3039.0111,104.0111,6.0111,95.0111,6.0111,1415.0111,230.0111,233.0111,136.0111,2717.0111
2727.0111,68.0111,26.0111,124.0111,18.0111,190.0111,236.0111,179.0111,59.0111,2052.0111
3289.0111,0.0111,0.0111,0.0111,0.0111,4773.0111,218.0111,238.0111,156.0111,458.0111
2817.0111,72.0111,32.0111,150.0111,-85.0111,342.0111,236.0111,161.0111,31.0111,2125.0111
2733.0111,66.0111,26.0111,108.0111,24.0111,201.0111,234.0111,177.0111,59.0111,2081.0111
3145.0111,63.0111,13.0111,362.0111,16.0111,2200.0111,231.0111,214.0111,113.0111,2396.0111
3113.0111,345.0111,11.0111,268.0111,11.0111,1987.0111,197.0111,222.0111,163.0111,2598.0111
2786.0111,71.0111,32.0111,120.0111,31.0111,295.0111,236.0111,162.0111,33.0111,2135.0111
2726.0111,65.0111,25.0111,67.0111,17.0111,180.0111,234.0111,182.0111,66.0111,2103.0111
2704.0111,61.0111,23.0111,30.0111,18.0111,120.0111,232.0111,186.0111,75.0111,2089.0111
2895.0111,84.0111,19.0111,90.0111,-29.0111,503.0111,243.0111,203.0111,82.0111,2234.0111
3230.0111,298.0111,16.0111,391.0111,87.0111,4508.0111,174.0111,233.0111,198.0111,1148.0111
3200.0111,280.0111,7.0111,150.0111,-18.0111,3439.0111,202.0111,241.0111,178.0111,1544.0111
3122.0111,32.0111,9.0111,242.0111,-6.0111,2095.0111,218.0111,221.0111,138.0111,2554.0111
2715.0111,68.0111,24.0111,0.0111,0.0111,120.0111,236.0111,186.0111,68.0111,2148.0111
2702.0111,75.0111,27.0111,30.0111,-6.0111,90.0111,240.0111,179.0111,53.0111,2142.0111
3161.0111,340.0111,5.0111,85.0111,-5.0111,3666.0111,210.0111,233.0111,162.0111,1492.0111
2742.0111,67.0111,23.0111,0.0111,0.0111,182.0111,236.0111,186.0111,69.0111,2190.0111
3198.0111,269.0111,9.0111,180.0111,-20.0111,3491.0111,196.0111,244.0111,187.0111,1588.0111
2708.0111,80.0111,29.0111,67.0111,-17.0111,108.0111,244.0111,174.0111,39.0111,2200.0111
3172.0111,30.0111,9.0111,0.0111,0.0111,5224.0111,218.0111,220.0111,137.0111,1053.0111
3166.0111,8.0111,5.0111,30.0111,0.0111,3721.0111,214.0111,230.0111,153.0111,1543.0111
3052.0111,72.0111,9.0111,0.0111,0.0111,1691.0111,231.0111,223.0111,125.0111,3010.0111
2751.0111,83.0111,23.0111,42.0111,-8.0111,201.0111,245.0111,194.0111,67.0111,2249.0111
2726.0111,86.0111,25.0111,67.0111,-15.0111,150.0111,247.0111,189.0111,57.0111,2236.0111
3287.0111,333.0111,4.0111,335.0111,22.0111,5730.0111,210.0111,234.0111,163.0111,571.0111
3262.0111,88.0111,5.0111,242.0111,10.0111,6300.0111,228.0111,231.0111,137.0111,420.0111
3207.0111,85.0111,6.0111,85.0111,5.0111,5649.0111,228.0111,230.0111,136.0111,824.0111
3217.0111,313.0111,16.0111,240.0111,74.0111,4696.0111,175.0111,226.0111,191.0111,990.0111
3276.0111,272.0111,14.0111,591.0111,169.0111,4374.0111,183.0111,244.0111,199.0111,1132.0111
3200.0111,263.0111,8.0111,150.0111,-17.0111,3489.0111,201.0111,244.0111,182.0111,1655.0111
3224.0111,352.0111,2.0111,134.0111,5.0111,3220.0111,216.0111,236.0111,157.0111,1790.0111
2921.0111,70.0111,18.0111,60.0111,-3.0111,553.0111,237.0111,203.0111,91.0111,2384.0111
2779.0111,90.0111,28.0111,60.0111,-26.0111,268.0111,249.0111,184.0111,44.0111,2292.0111
2724.0111,93.0111,26.0111,124.0111,-35.0111,150.0111,250.0111,191.0111,53.0111,2295.0111
3292.0111,347.0111,3.0111,360.0111,27.0111,5760.0111,213.0111,234.0111,159.0111,601.0111
3222.0111,25.0111,9.0111,0.0111,0.0111,3032.0111,216.0111,221.0111,141.0111,1974.0111
3063.0111,54.0111,15.0111,60.0111,-5.0111,1731.0111,228.0111,207.0111,109.0111,3056.0111
2996.0111,80.0111,16.0111,162.0111,24.0111,972.0111,239.0111,210.0111,97.0111,2620.0111
2763.0111,87.0111,27.0111,120.0111,-60.0111,240.0111,247.0111,186.0111,50.0111,2343.0111
2799.0111,87.0111,31.0111,150.0111,-71.0111,295.0111,247.0111,174.0111,32.0111,2387.0111
2736.0111,98.0111,25.0111,150.0111,88.0111,180.0111,251.0111,196.0111,58.0111,2359.0111
2722.0111,100.0111,28.0111,120.0111,74.0111,150.0111,252.0111,190.0111,46.0111,2353.0111
3275.0111,278.0111,8.0111,60.0111,10.0111,5461.0111,197.0111,242.0111,184.0111,313.0111
3230.0111,297.0111,11.0111,210.0111,87.0111,4776.0111,190.0111,237.0111,186.0111,866.0111
3207.0111,99.0111,12.0111,300.0111,45.0111,4082.0111,240.0111,223.0111,112.0111,1298.0111
3040.0111,0.0111,5.0111,242.0111,0.0111,1413.0111,212.0111,230.0111,156.0111,2916.0111
3006.0111,88.0111,11.0111,150.0111,28.0111,994.0111,237.0111,221.0111,114.0111,2687.0111
2701.0111,99.0111,31.0111,90.0111,53.0111,120.0111,252.0111,180.0111,31.0111,2377.0111
3296.0111,356.0111,3.0111,270.0111,31.0111,5672.0111,214.0111,234.0111,157.0111,524.0111
2733.0111,93.0111,28.0111,150.0111,85.0111,162.0111,250.0111,185.0111,44.0111,2418.0111
2699.0111,94.0111,31.0111,90.0111,51.0111,108.0111,250.0111,177.0111,32.0111,2407.0111
3208.0111,0.0111,9.0111,124.0111,-2.0111,5394.0111,206.0111,222.0111,154.0111,900.0111
3191.0111,286.0111,20.0111,30.0111,12.0111,4965.0111,162.0111,235.0111,212.0111,781.0111
3186.0111,28.0111,6.0111,60.0111,7.0111,3810.0111,218.0111,228.0111,146.0111,1533.0111
2802.0111,86.0111,31.0111,240.0111,-100.0111,272.0111,246.0111,171.0111,30.0111,2474.0111
2784.0111,87.0111,31.0111,240.0111,-110.0111,242.0111,247.0111,173.0111,31.0111,2467.0111
2699.0111,91.0111,31.0111,90.0111,51.0111,95.0111,249.0111,176.0111,32.0111,2436.0111
2823.0111,80.0111,33.0111,270.0111,-95.0111,300.0111,242.0111,161.0111,22.0111,2510.0111
2803.0111,83.0111,33.0111,270.0111,-108.0111,270.0111,244.0111,166.0111,24.0111,2503.0111
2785.0111,85.0111,31.0111,240.0111,137.0111,240.0111,246.0111,170.0111,29.0111,2496.0111
2716.0111,94.0111,30.0111,120.0111,68.0111,120.0111,251.0111,181.0111,37.0111,2471.0111
2698.0111,94.0111,31.0111,90.0111,52.0111,90.0111,251.0111,178.0111,32.0111,2466.0111
3214.0111,2.0111,8.0111,124.0111,8.0111,5555.0111,209.0111,225.0111,154.0111,924.0111
2768.0111,88.0111,32.0111,210.0111,120.0111,210.0111,248.0111,169.0111,25.0111,2519.0111
3286.0111,307.0111,9.0111,127.0111,16.0111,5497.0111,194.0111,235.0111,180.0111,408.0111
3197.0111,290.0111,9.0111,60.0111,9.0111,3690.0111,195.0111,239.0111,183.0111,1651.0111
3141.0111,35.0111,13.0111,201.0111,12.0111,1899.0111,218.0111,210.0111,125.0111,3024.0111
2830.0111,88.0111,35.0111,256.0111,128.0111,300.0111,246.0111,161.0111,14.0111,2568.0111
